arr_sz,run_ID,insertion_sort_counter,selection_sort_counter,merge_sort_counter,quick_sort_counter
1000,1,245392,499500,1999,1801
1000,2,250670,499500,1999,1801
1000,3,250778,499500,1999,1801
1000,4,246920,499500,1999,1801
1000,5,251579,499500,1999,1801
1000,6,240656,499500,1999,1801
1000,7,241436,499500,1999,1801
1000,8,244832,499500,1999,1801
1000,9,256364,499500,1999,1801
1000,10,257001,499500,1999,1801
2000,1,982907,1999000,3999,3801
2000,2,973871,1999000,3999,3801
2000,3,982604,1999000,3999,3801
2000,4,969146,1999000,3999,3801
2000,5,1008069,1999000,3999,3801
2000,6,985871,1999000,3999,3801
2000,7,994662,1999000,3999,3801
2000,8,1017771,1999000,3999,3801
2000,9,999574,1999000,3999,3801
2000,10,1000094,1999000,3999,3801
3000,1,2204517,4498500,5999,5801
3000,2,2217266,4498500,5999,5801
3000,3,2148434,4498500,5999,5801
3000,4,2272877,4498500,5999,5801
3000,5,2215746,4498500,5999,5801
3000,6,2222103,4498500,5999,5801
3000,7,2231534,4498500,5999,5801
3000,8,2254990,4498500,5999,5801
3000,9,2233176,4498500,5999,5801
3000,10,2196900,4498500,5999,5801
4000,1,3956416,7998000,7999,7801
4000,2,3930504,7998000,7999,7801
4000,3,3970091,7998000,7999,7801
4000,4,3938286,7998000,7999,7801
4000,5,4025729,7998000,7999,7801
4000,6,3903298,7998000,7999,7801
4000,7,3963816,7998000,7999,7801
4000,8,3970591,7998000,7999,7801
4000,9,3922439,7998000,7999,7801
4000,10,4009098,7998000,7999,7801
5000,1,6199333,12497500,9999,9801
5000,2,6182182,12497500,9999,9801
5000,3,6196420,12497500,9999,9801
5000,4,6106394,12497500,9999,9801
5000,5,6171997,12497500,9999,9801
5000,6,6179503,12497500,9999,9801
5000,7,6098470,12497500,9999,9801
5000,8,6269853,12497500,9999,9801
5000,9,6158498,12497500,9999,9801
5000,10,6220125,12497500,9999,9801
6000,1,9096565,17997000,11999,11801
6000,2,8989882,17997000,11999,11801
6000,3,8889915,17997000,11999,11801
6000,4,8938415,17997000,11999,11801
6000,5,8859076,17997000,11999,11801
6000,6,9012268,17997000,11999,11801
6000,7,8850065,17997000,11999,11801
6000,8,8918690,17997000,11999,11801
6000,9,8855887,17997000,11999,11801
6000,10,8864862,17997000,11999,11801
7000,1,11993280,24496500,13999,13801
7000,2,12255785,24496500,13999,13801
7000,3,12167605,24496500,13999,13801
7000,4,12166885,24496500,13999,13801
7000,5,12037718,24496500,13999,13801
7000,6,12088096,24496500,13999,13801
7000,7,11966795,24496500,13999,13801
7000,8,12090925,24496500,13999,13801
7000,9,11995276,24496500,13999,13801
7000,10,12041941,24496500,13999,13801
