arr_sz,run_ID,insertion_sort_time(microsec),selection_sort_time(microsec),merge_sort_time(microsec),quick_sort_time(microsec)
1000,1,310.000000,567.000000,77.000000,52.000000
1000,2,651.000000,1133.000000,150.000000,104.000000
1000,3,968.000000,1698.000000,221.000000,157.000000
1000,4,1308.000000,2267.000000,293.000000,212.000000
1000,5,1626.000000,2834.000000,365.000000,265.000000
1000,6,1931.000000,3399.000000,437.000000,319.000000
1000,7,2252.000000,3969.000000,509.000000,372.000000
1000,8,2569.000000,4540.000000,581.000000,423.000000
1000,9,2892.000000,5107.000000,652.000000,475.000000
1000,10,3225.000000,5725.000000,726.000000,528.000000
2000,1,1223.000000,2223.000000,152.000000,114.000000
2000,2,2441.000000,4470.000000,303.000000,229.000000
2000,3,3663.000000,7106.000000,457.000000,344.000000
2000,4,4869.000000,9313.000000,607.000000,470.000000
2000,5,6124.000000,11513.000000,757.000000,595.000000
2000,6,7351.000000,13726.000000,907.000000,718.000000
2000,7,8605.000000,16328.000000,1061.000000,833.000000
2000,8,9871.000000,18529.000000,1211.000000,952.000000
2000,9,11114.000000,20749.000000,1362.000000,1074.000000
2000,10,12360.000000,22966.000000,1511.000000,1191.000000
3000,1,2737.000000,4970.000000,240.000000,216.000000
3000,2,5497.000000,9924.000000,477.000000,421.000000
3000,3,8221.000000,14844.000000,708.000000,603.000000
3000,4,11055.000000,19804.000000,942.000000,790.000000
3000,5,13845.000000,24725.000000,1171.000000,978.000000
3000,6,16622.000000,29656.000000,1401.000000,1166.000000
3000,7,19833.000000,34576.000000,1635.000000,1356.000000
3000,8,22643.000000,39481.000000,1866.000000,1538.000000
3000,9,25432.000000,44395.000000,2100.000000,1735.000000
3000,10,28162.000000,49302.000000,2334.000000,1928.000000
4000,1,4903.000000,8685.000000,318.000000,277.000000
4000,2,9777.000000,17368.000000,629.000000,539.000000
4000,3,14715.000000,26054.000000,939.000000,814.000000
4000,4,19625.000000,34740.000000,1252.000000,1076.000000
4000,5,24618.000000,43440.000000,1567.000000,1330.000000
4000,6,29449.000000,52170.000000,1880.000000,1605.000000
4000,7,34358.000000,60874.000000,2191.000000,1875.000000
4000,8,39270.000000,69610.000000,2508.000000,2179.000000
4000,9,44124.000000,78329.000000,2823.000000,2446.000000
4000,10,49096.000000,87084.000000,3139.000000,2712.000000
5000,1,7659.000000,13581.000000,404.000000,363.000000
5000,2,15344.000000,27097.000000,811.000000,714.000000
5000,3,23004.000000,41016.000000,1216.000000,1069.000000
5000,4,30563.000000,54587.000000,1615.000000,1427.000000
5000,5,38228.000000,68126.000000,2015.000000,1777.000000
5000,6,45857.000000,81693.000000,2414.000000,2132.000000
5000,7,53407.000000,94748.000000,2785.000000,2471.000000
5000,8,60546.000000,107107.000000,3146.000000,2789.000000
5000,9,67503.000000,119451.000000,3509.000000,3131.000000
5000,10,74525.000000,131797.000000,3871.000000,3451.000000
6000,1,10253.000000,17759.000000,444.000000,420.000000
6000,2,20399.000000,35668.000000,894.000000,851.000000
6000,3,30441.000000,53439.000000,1332.000000,1262.000000
6000,4,40521.000000,71195.000000,1768.000000,1671.000000
6000,5,50524.000000,88940.000000,2206.000000,2079.000000
6000,6,60778.000000,106766.000000,2648.000000,2506.000000
6000,7,71084.000000,125056.000000,3095.000000,2946.000000
6000,8,81202.000000,143475.000000,3537.000000,3415.000000
6000,9,91637.000000,161328.000000,3980.000000,3827.000000
6000,10,102291.000000,179334.000000,4431.000000,4263.000000
7000,1,13603.000000,24781.000000,549.000000,546.000000
7000,2,28103.000000,49082.000000,1067.000000,1052.000000
7000,3,41917.000000,73964.000000,1591.000000,1584.000000
7000,4,55932.000000,98499.000000,2120.000000,2090.000000
7000,5,69732.000000,123007.000000,2634.000000,2642.000000
7000,6,83687.000000,147481.000000,3171.000000,3138.000000
7000,7,97355.000000,172099.000000,3692.000000,3699.000000
7000,8,111393.000000,196790.000000,4211.000000,4213.000000
7000,9,125335.000000,221381.000000,4773.000000,4754.000000
7000,10,139191.000000,246169.000000,5301.000000,5266.000000
