run_id,insertion_sort_counter,insertion_sort_time(ns),selection_sort_counter,selection_sort_time(ns),merge_sort_counter,merge_sort_time(ns),quick_sort_counter,quick_sort_time(ns)
1,256712,333057,499500,577734,0,79332,0,70872
2,246782,349418,499500,575734,0,75782,0,71672
3,242427,311467,499500,575684,0,74782,0,75951
4,246585,311627,499500,575584,0,74411,0,70892
5,251799,317878,499500,577504,0,88542,0,68141
6,245430,310168,499500,581194,0,74421,0,69372
7,240241,303788,499500,614404,0,74972,0,64061
8,246296,311227,499500,591414,0,74592,0,67521
9,257846,325907,499500,771269,0,125043,0,104602
10,249159,423571,499500,576653,0,75702,0,69432
